epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1946.17,0.75418,0.40729,1.00587,0.94592,0.95857,0.97874,0.76142,0.85798,0.40226,1.06421,0.000195983,0.000195983,0.000195983
88,1968.39,0.74578,0.40174,1.00252,0.95408,0.9469,0.97539,0.76222,0.83766,0.39548,1.0483,0.000190949,0.000190949,0.000190949
89,1990.53,0.7559,0.4094,1.00037,0.95925,0.95359,0.97839,0.76404,0.83599,0.39319,1.04249,0.000185942,0.000185942,0.000185942
90,2012.84,0.74392,0.39372,0.99405,0.95815,0.94864,0.97858,0.74892,0.89511,0.4043,1.08304,0.000180965,0.000180965,0.000180965
91,2035.23,0.75201,0.40084,0.99748,0.96299,0.95756,0.98225,0.77239,0.84333,0.385,1.0481,0.000176018,0.000176018,0.000176018
92,2057.78,0.74356,0.39598,0.99826,0.96539,0.95307,0.97751,0.76923,0.81286,0.38679,1.03935,0.000171106,0.000171106,0.000171106
93,2080.14,0.72377,0.38414,0.99031,0.94799,0.96348,0.97936,0.77499,0.81583,0.3794,1.03812,0.000166228,0.000166228,0.000166228
94,2102.56,0.73592,0.39389,0.98636,0.95623,0.96272,0.98178,0.77481,0.8232,0.38475,1.04144,0.000161389,0.000161389,0.000161389
95,2124.9,0.72613,0.38591,0.98345,0.95826,0.9573,0.97996,0.77071,0.82032,0.37473,1.03727,0.00015659,0.00015659,0.00015659
96,2147.09,0.72355,0.3861,0.98438,0.95295,0.95817,0.97847,0.77628,0.7978,0.37369,1.02795,0.000151833,0.000151833,0.000151833
97,2169.56,0.72578,0.38645,0.98398,0.96144,0.95519,0.97871,0.76324,0.84199,0.38177,1.04716,0.00014712,0.00014712,0.00014712
98,2191.76,0.72512,0.38555,0.98229,0.96296,0.95283,0.98014,0.76976,0.83356,0.38026,1.04198,0.000142453,0.000142453,0.000142453
99,2214.09,0.73569,0.38672,0.99021,0.96497,0.9596,0.98104,0.77443,0.8243,0.37112,1.04108,0.000137834,0.000137834,0.000137834
100,2236.27,0.70566,0.37048,0.97364,0.96373,0.96129,0.9815,0.77857,0.80333,0.36489,1.0277,0.000133266,0.000133266,0.000133266
101,2258.71,0.71472,0.37741,0.97407,0.96224,0.96726,0.98322,0.7781,0.81029,0.36461,1.02358,0.00012875,0.00012875,0.00012875
102,2281.13,0.70527,0.37488,0.97367,0.96109,0.96196,0.98087,0.77956,0.78834,0.36044,1.01249,0.000124288,0.000124288,0.000124288
103,2303.58,0.70533,0.36685,0.96818,0.96204,0.9626,0.98119,0.77686,0.80654,0.3641,1.0273,0.000119883,0.000119883,0.000119883
104,2326,0.7043,0.36841,0.97006,0.96062,0.97186,0.98095,0.78127,0.78411,0.35996,1.02071,0.000115536,0.000115536,0.000115536
105,2348.37,0.69936,0.36573,0.97159,0.95089,0.96903,0.97924,0.77566,0.79982,0.36198,1.02753,0.000111248,0.000111248,0.000111248
106,2370.54,0.7063,0.37149,0.97899,0.95795,0.9681,0.97968,0.77505,0.80345,0.36393,1.03544,0.000107023,0.000107023,0.000107023
107,2392.84,0.70884,0.37195,0.9816,0.95486,0.96723,0.97816,0.77841,0.794,0.36504,1.02512,0.000102862,0.000102862,0.000102862
108,2415.02,0.69598,0.36376,0.97,0.95907,0.95914,0.98064,0.78633,0.77818,0.36558,1.0177,9.87659e-05,9.87659e-05,9.87659e-05
109,2437.41,0.69084,0.35973,0.96269,0.96082,0.95884,0.98035,0.78826,0.77435,0.36467,1.0138,9.47376e-05,9.47376e-05,9.47376e-05
110,2459.8,0.69578,0.36595,0.96985,0.96119,0.96562,0.98165,0.78489,0.77739,0.35727,1.01446,9.07784e-05,9.07784e-05,9.07784e-05
111,2482.02,0.696,0.36518,0.97055,0.96633,0.96331,0.98285,0.78778,0.78514,0.35513,1.01907,8.68902e-05,8.68902e-05,8.68902e-05
112,2504.41,0.69254,0.35866,0.96296,0.95784,0.96678,0.98131,0.78794,0.78208,0.35588,1.01678,8.30746e-05,8.30746e-05,8.30746e-05
113,2526.68,0.69349,0.367,0.9658,0.96291,0.96259,0.98159,0.78504,0.78919,0.3509,1.01817,7.93333e-05,7.93333e-05,7.93333e-05
